Rezultati: 
Rezultat [natjecatelj=Natjecatelj [id=M14:2, godiste=14, spol=M, ukupanBrojBodova=40], redniBroj=1, vrijeme=55, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M35:76, godiste=35, spol=M, ukupanBrojBodova=12], redniBroj=34, vrijeme=769, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:80, godiste=35, spol=M, ukupanBrojBodova=4], redniBroj=37, vrijeme=864, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:66, godiste=35, spol=M, ukupanBrojBodova=27], redniBroj=31, vrijeme=970, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:75, godiste=35, spol=M, ukupanBrojBodova=20], redniBroj=39, vrijeme=41, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M35:78, godiste=35, spol=M, ukupanBrojBodova=47], redniBroj=41, vrijeme=131, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:67, godiste=35, spol=M, ukupanBrojBodova=20], redniBroj=35, vrijeme=167, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:74, godiste=35, spol=M, ukupanBrojBodova=50], redniBroj=38, vrijeme=455, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:72, godiste=35, spol=M, ukupanBrojBodova=12], redniBroj=37, vrijeme=624, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:71, godiste=35, spol=M, ukupanBrojBodova=10], redniBroj=36, vrijeme=674, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:62, godiste=35, spol=M, ukupanBrojBodova=58], redniBroj=34, vrijeme=698, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:76, godiste=35, spol=M, ukupanBrojBodova=12], redniBroj=40, vrijeme=740, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:68, godiste=35, spol=M, ukupanBrojBodova=0], redniBroj=39, vrijeme=14, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M35:67, godiste=35, spol=M, ukupanBrojBodova=20], redniBroj=38, vrijeme=47, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M35:66, godiste=35, spol=M, ukupanBrojBodova=27], redniBroj=37, vrijeme=54, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M35:64, godiste=35, spol=M, ukupanBrojBodova=12], redniBroj=36, vrijeme=81, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M35:77, godiste=35, spol=M, ukupanBrojBodova=57], redniBroj=42, vrijeme=156, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:62, godiste=35, spol=M, ukupanBrojBodova=58], redniBroj=34, vrijeme=259, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:74, godiste=35, spol=M, ukupanBrojBodova=50], redniBroj=41, vrijeme=262, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:61, godiste=35, spol=M, ukupanBrojBodova=18], redniBroj=33, vrijeme=459, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:78, godiste=35, spol=M, ukupanBrojBodova=47], redniBroj=43, vrijeme=535, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:73, godiste=35, spol=M, ukupanBrojBodova=8], redniBroj=40, vrijeme=659, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:79, godiste=35, spol=M, ukupanBrojBodova=39], redniBroj=44, vrijeme=857, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:63, godiste=35, spol=M, ukupanBrojBodova=19], redniBroj=35, vrijeme=897, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:66, godiste=35, spol=M, ukupanBrojBodova=27], redniBroj=36, vrijeme=169, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:62, godiste=35, spol=M, ukupanBrojBodova=58], redniBroj=33, vrijeme=412, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:63, godiste=35, spol=M, ukupanBrojBodova=19], redniBroj=34, vrijeme=520, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:64, godiste=35, spol=M, ukupanBrojBodova=12], redniBroj=35, vrijeme=754, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:74, godiste=35, spol=M, ukupanBrojBodova=50], redniBroj=37, vrijeme=791, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:66, godiste=35, spol=M, ukupanBrojBodova=27], redniBroj=31, vrijeme=21, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M35:63, godiste=35, spol=M, ukupanBrojBodova=19], redniBroj=30, vrijeme=55, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M35:73, godiste=35, spol=M, ukupanBrojBodova=8], redniBroj=34, vrijeme=70, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M35:70, godiste=35, spol=M, ukupanBrojBodova=33], redniBroj=33, vrijeme=115, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:77, godiste=35, spol=M, ukupanBrojBodova=57], redniBroj=36, vrijeme=117, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:69, godiste=35, spol=M, ukupanBrojBodova=15], redniBroj=32, vrijeme=263, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:78, godiste=35, spol=M, ukupanBrojBodova=47], redniBroj=37, vrijeme=311, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:74, godiste=35, spol=M, ukupanBrojBodova=50], redniBroj=35, vrijeme=597, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:79, godiste=35, spol=M, ukupanBrojBodova=39], redniBroj=38, vrijeme=694, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:61, godiste=35, spol=M, ukupanBrojBodova=18], redniBroj=29, vrijeme=867, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:90, godiste=45, spol=M, ukupanBrojBodova=8], redniBroj=40, vrijeme=98, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M45:98, godiste=45, spol=M, ukupanBrojBodova=31], redniBroj=44, vrijeme=279, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:81, godiste=45, spol=M, ukupanBrojBodova=20], redniBroj=38, vrijeme=311, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:89, godiste=45, spol=M, ukupanBrojBodova=58], redniBroj=39, vrijeme=549, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:96, godiste=45, spol=M, ukupanBrojBodova=16], redniBroj=43, vrijeme=614, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:91, godiste=45, spol=M, ukupanBrojBodova=22], redniBroj=41, vrijeme=634, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:100, godiste=45, spol=M, ukupanBrojBodova=9], redniBroj=46, vrijeme=782, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:99, godiste=45, spol=M, ukupanBrojBodova=16], redniBroj=45, vrijeme=923, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:94, godiste=45, spol=M, ukupanBrojBodova=5], redniBroj=42, vrijeme=943, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:95, godiste=45, spol=M, ukupanBrojBodova=22], redniBroj=49, vrijeme=27, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M45:89, godiste=45, spol=M, ukupanBrojBodova=58], redniBroj=47, vrijeme=104, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:83, godiste=45, spol=M, ukupanBrojBodova=20], redniBroj=43, vrijeme=269, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:88, godiste=45, spol=M, ukupanBrojBodova=44], redniBroj=46, vrijeme=640, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:93, godiste=45, spol=M, ukupanBrojBodova=38], redniBroj=48, vrijeme=654, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:86, godiste=45, spol=M, ukupanBrojBodova=37], redniBroj=44, vrijeme=681, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:97, godiste=45, spol=M, ukupanBrojBodova=23], redniBroj=50, vrijeme=749, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:82, godiste=45, spol=M, ukupanBrojBodova=23], redniBroj=42, vrijeme=849, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:87, godiste=45, spol=M, ukupanBrojBodova=20], redniBroj=45, vrijeme=938, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:90, godiste=45, spol=M, ukupanBrojBodova=8], redniBroj=49, vrijeme=57, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M45:92, godiste=45, spol=M, ukupanBrojBodova=45], redniBroj=51, vrijeme=242, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:84, godiste=45, spol=M, ukupanBrojBodova=39], redniBroj=46, vrijeme=345, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:82, godiste=45, spol=M, ukupanBrojBodova=23], redniBroj=45, vrijeme=407, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:91, godiste=45, spol=M, ukupanBrojBodova=22], redniBroj=50, vrijeme=578, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:99, godiste=45, spol=M, ukupanBrojBodova=16], redniBroj=56, vrijeme=585, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:87, godiste=45, spol=M, ukupanBrojBodova=20], redniBroj=48, vrijeme=586, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:98, godiste=45, spol=M, ukupanBrojBodova=31], redniBroj=55, vrijeme=717, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:96, godiste=45, spol=M, ukupanBrojBodova=16], redniBroj=54, vrijeme=826, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:86, godiste=45, spol=M, ukupanBrojBodova=37], redniBroj=47, vrijeme=835, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:100, godiste=45, spol=M, ukupanBrojBodova=9], redniBroj=57, vrijeme=938, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:94, godiste=45, spol=M, ukupanBrojBodova=5], redniBroj=53, vrijeme=942, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:93, godiste=45, spol=M, ukupanBrojBodova=38], redniBroj=52, vrijeme=990, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:81, godiste=45, spol=M, ukupanBrojBodova=20], redniBroj=38, vrijeme=59, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M45:86, godiste=45, spol=M, ukupanBrojBodova=37], redniBroj=41, vrijeme=229, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:92, godiste=45, spol=M, ukupanBrojBodova=45], redniBroj=45, vrijeme=237, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:84, godiste=45, spol=M, ukupanBrojBodova=39], redniBroj=40, vrijeme=420, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:89, godiste=45, spol=M, ukupanBrojBodova=58], redniBroj=43, vrijeme=562, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:95, godiste=45, spol=M, ukupanBrojBodova=22], redniBroj=48, vrijeme=663, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:90, godiste=45, spol=M, ukupanBrojBodova=8], redniBroj=44, vrijeme=698, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:93, godiste=45, spol=M, ukupanBrojBodova=38], redniBroj=46, vrijeme=792, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:88, godiste=45, spol=M, ukupanBrojBodova=44], redniBroj=42, vrijeme=841, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:82, godiste=45, spol=M, ukupanBrojBodova=23], redniBroj=39, vrijeme=851, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:94, godiste=45, spol=M, ukupanBrojBodova=5], redniBroj=47, vrijeme=868, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:96, godiste=45, spol=M, ukupanBrojBodova=16], redniBroj=49, vrijeme=871, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:97, godiste=45, spol=M, ukupanBrojBodova=23], redniBroj=50, vrijeme=916, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:99, godiste=45, spol=M, ukupanBrojBodova=16], redniBroj=51, vrijeme=945, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:99, godiste=45, spol=M, ukupanBrojBodova=16], redniBroj=47, vrijeme=53, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M45:88, godiste=45, spol=M, ukupanBrojBodova=44], redniBroj=42, vrijeme=280, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:93, godiste=45, spol=M, ukupanBrojBodova=38], redniBroj=44, vrijeme=307, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:97, godiste=45, spol=M, ukupanBrojBodova=23], redniBroj=46, vrijeme=355, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:95, godiste=45, spol=M, ukupanBrojBodova=22], redniBroj=45, vrijeme=476, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:85, godiste=45, spol=M, ukupanBrojBodova=10], redniBroj=40, vrijeme=596, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:87, godiste=45, spol=M, ukupanBrojBodova=20], redniBroj=41, vrijeme=597, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:89, godiste=45, spol=M, ukupanBrojBodova=58], redniBroj=43, vrijeme=832, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M45:84, godiste=45, spol=M, ukupanBrojBodova=39], redniBroj=39, vrijeme=981, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:113, godiste=99, spol=M, ukupanBrojBodova=37], redniBroj=54, vrijeme=106, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:110, godiste=99, spol=M, ukupanBrojBodova=26], redniBroj=51, vrijeme=175, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:114, godiste=99, spol=M, ukupanBrojBodova=70], redniBroj=55, vrijeme=194, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:112, godiste=99, spol=M, ukupanBrojBodova=27], redniBroj=53, vrijeme=219, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:118, godiste=99, spol=M, ukupanBrojBodova=35], redniBroj=57, vrijeme=221, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:105, godiste=99, spol=M, ukupanBrojBodova=41], redniBroj=49, vrijeme=241, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:108, godiste=99, spol=M, ukupanBrojBodova=27], redniBroj=50, vrijeme=302, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:111, godiste=99, spol=M, ukupanBrojBodova=14], redniBroj=52, vrijeme=325, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:120, godiste=99, spol=M, ukupanBrojBodova=33], redniBroj=58, vrijeme=350, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:103, godiste=99, spol=M, ukupanBrojBodova=31], redniBroj=48, vrijeme=416, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:116, godiste=99, spol=M, ukupanBrojBodova=12], redniBroj=56, vrijeme=716, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:101, godiste=99, spol=M, ukupanBrojBodova=12], redniBroj=47, vrijeme=722, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:115, godiste=99, spol=M, ukupanBrojBodova=28], redniBroj=58, vrijeme=29, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M99:111, godiste=99, spol=M, ukupanBrojBodova=14], redniBroj=55, vrijeme=34, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M99:105, godiste=99, spol=M, ukupanBrojBodova=41], redniBroj=53, vrijeme=139, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:114, godiste=99, spol=M, ukupanBrojBodova=70], redniBroj=57, vrijeme=141, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:106, godiste=99, spol=M, ukupanBrojBodova=27], redniBroj=54, vrijeme=453, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:113, godiste=99, spol=M, ukupanBrojBodova=37], redniBroj=56, vrijeme=690, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:104, godiste=99, spol=M, ukupanBrojBodova=12], redniBroj=52, vrijeme=744, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:119, godiste=99, spol=M, ukupanBrojBodova=42], redniBroj=59, vrijeme=760, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:120, godiste=99, spol=M, ukupanBrojBodova=33], redniBroj=60, vrijeme=808, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:102, godiste=99, spol=M, ukupanBrojBodova=14], redniBroj=51, vrijeme=916, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:117, godiste=99, spol=M, ukupanBrojBodova=4], redniBroj=64, vrijeme=38, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M99:120, godiste=99, spol=M, ukupanBrojBodova=33], redniBroj=66, vrijeme=296, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:115, godiste=99, spol=M, ukupanBrojBodova=28], redniBroj=62, vrijeme=380, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:114, godiste=99, spol=M, ukupanBrojBodova=70], redniBroj=61, vrijeme=476, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:116, godiste=99, spol=M, ukupanBrojBodova=12], redniBroj=63, vrijeme=521, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:103, godiste=99, spol=M, ukupanBrojBodova=31], redniBroj=58, vrijeme=668, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:119, godiste=99, spol=M, ukupanBrojBodova=42], redniBroj=65, vrijeme=684, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:108, godiste=99, spol=M, ukupanBrojBodova=27], redniBroj=60, vrijeme=690, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:107, godiste=99, spol=M, ukupanBrojBodova=4], redniBroj=59, vrijeme=731, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:118, godiste=99, spol=M, ukupanBrojBodova=35], redniBroj=62, vrijeme=123, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:103, godiste=99, spol=M, ukupanBrojBodova=31], redniBroj=54, vrijeme=329, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:108, godiste=99, spol=M, ukupanBrojBodova=27], redniBroj=57, vrijeme=447, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:101, godiste=99, spol=M, ukupanBrojBodova=12], redniBroj=52, vrijeme=448, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:102, godiste=99, spol=M, ukupanBrojBodova=14], redniBroj=53, vrijeme=463, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:105, godiste=99, spol=M, ukupanBrojBodova=41], redniBroj=56, vrijeme=483, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:110, godiste=99, spol=M, ukupanBrojBodova=26], redniBroj=59, vrijeme=517, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:117, godiste=99, spol=M, ukupanBrojBodova=4], redniBroj=61, vrijeme=607, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:104, godiste=99, spol=M, ukupanBrojBodova=12], redniBroj=55, vrijeme=657, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:119, godiste=99, spol=M, ukupanBrojBodova=42], redniBroj=63, vrijeme=730, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:120, godiste=99, spol=M, ukupanBrojBodova=33], redniBroj=64, vrijeme=795, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:109, godiste=99, spol=M, ukupanBrojBodova=6], redniBroj=58, vrijeme=828, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:116, godiste=99, spol=M, ukupanBrojBodova=12], redniBroj=60, vrijeme=969, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:119, godiste=99, spol=M, ukupanBrojBodova=42], redniBroj=54, vrijeme=168, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:114, godiste=99, spol=M, ukupanBrojBodova=70], redniBroj=52, vrijeme=170, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:112, godiste=99, spol=M, ukupanBrojBodova=27], redniBroj=51, vrijeme=243, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:106, godiste=99, spol=M, ukupanBrojBodova=27], redniBroj=48, vrijeme=402, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:111, godiste=99, spol=M, ukupanBrojBodova=14], redniBroj=50, vrijeme=450, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:115, godiste=99, spol=M, ukupanBrojBodova=28], redniBroj=53, vrijeme=673, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M99:109, godiste=99, spol=M, ukupanBrojBodova=6], redniBroj=49, vrijeme=686, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:129, godiste=14, spol=Z, ukupanBrojBodova=29], redniBroj=62, vrijeme=36, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=Z14:137, godiste=14, spol=Z, ukupanBrojBodova=50], redniBroj=68, vrijeme=108, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:139, godiste=14, spol=Z, ukupanBrojBodova=40], redniBroj=70, vrijeme=153, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:133, godiste=14, spol=Z, ukupanBrojBodova=52], redniBroj=64, vrijeme=223, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:135, godiste=14, spol=Z, ukupanBrojBodova=39], redniBroj=66, vrijeme=631, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:130, godiste=14, spol=Z, ukupanBrojBodova=30], redniBroj=63, vrijeme=681, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:138, godiste=14, spol=Z, ukupanBrojBodova=35], redniBroj=69, vrijeme=717, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:134, godiste=14, spol=Z, ukupanBrojBodova=16], redniBroj=65, vrijeme=726, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:126, godiste=14, spol=Z, ukupanBrojBodova=14], redniBroj=60, vrijeme=738, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:122, godiste=14, spol=Z, ukupanBrojBodova=5], redniBroj=59, vrijeme=864, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:136, godiste=14, spol=Z, ukupanBrojBodova=9], redniBroj=67, vrijeme=888, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:128, godiste=14, spol=Z, ukupanBrojBodova=35], redniBroj=61, vrijeme=934, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:135, godiste=14, spol=Z, ukupanBrojBodova=39], redniBroj=66, vrijeme=209, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:139, godiste=14, spol=Z, ukupanBrojBodova=40], redniBroj=68, vrijeme=319, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:138, godiste=14, spol=Z, ukupanBrojBodova=35], redniBroj=67, vrijeme=323, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=Z14:133, godiste=14, spol=Z, ukupanBrojBodova=52], redniBroj=64, vrijeme=490, brojBodova=12, diskvalificiran=false]
